EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
330,1,0,mu-,43.049077,0.300019,-92.099900,0.000924,91.842265,-88.210313,0.031215,-0.998996,-0.032148,807.595366,0.000000
615,1792,1,nu_mu,112.658981,-0.381804,-92.099900,0.246888,87.925428,-84.963037,0.087741,-0.995485,0.036200,734.518914,0.000000
1179,1,0,mu-,38.619365,0.556450,-92.099900,0.254307,89.621286,-87.159431,0.049556,-0.998749,0.006610,810.560636,0.000000
2334,1,0,mu-,42.337642,0.029628,-92.099900,0.269793,88.451179,-89.747546,0.004405,-0.999625,0.027029,803.342789,0.000000
2431,2510,1,e-,85.987962,-0.188855,-92.099900,-0.067554,115.079349,-96.542635,-0.103200,-0.899823,-0.423873,794.251005,0.000000
3342,1,0,mu-,40.481251,-0.471988,-92.099900,-0.034815,89.837952,-91.939932,-0.033852,-0.999423,0.002828,811.590729,0.000000
3742,1457,1,anti_nu_e,106.776745,-0.577240,-92.099900,-0.328753,88.627488,-90.555016,-0.009684,-0.999666,0.023953,715.637180,0.000000
4095,1,0,mu-,44.590534,-0.573716,-92.099900,0.097067,91.707013,-94.852805,-0.084559,-0.995973,-0.029789,805.322763,0.000000
4399,1,0,mu-,42.387589,-0.551080,-92.099900,-0.193547,91.706763,-90.720952,-0.012577,-0.999477,-0.029784,810.257052,0.000000
5078,1,0,mu-,43.965936,-0.242517,-92.099900,-0.073719,88.078439,-95.449619,-0.094917,-0.994920,0.033531,805.692795,0.000000
5296,1,0,mu-,39.281709,-0.678719,-92.099900,0.268552,91.482637,-87.220700,0.048473,-0.998489,-0.025874,812.519863,0.000000
5877,1,0,mu-,44.958382,0.528495,-92.099900,0.076155,89.384101,-90.793267,-0.013844,-0.999846,0.010749,804.018312,0.000000
6318,1,0,mu-,45.436913,0.239863,-92.099900,0.196594,89.061885,-89.546733,0.007910,-0.999835,0.016372,800.945732,0.000000
6072,1,0,mu-,43.014492,-0.031733,-92.099900,0.198464,88.618471,-96.006808,-0.104616,-0.994220,0.024110,806.779497,0.000000
6086,1,0,mu-,43.583469,-0.172305,-92.099900,0.161936,91.456989,-92.101348,-0.036655,-0.999004,-0.025427,806.450324,0.000000
6899,1,0,mu-,42.539920,-0.296138,-92.099900,0.077991,93.138656,-86.999387,0.052268,-0.997131,-0.054752,807.897906,0.000000
7479,1,0,mu-,41.012467,0.218840,-92.099900,0.168627,93.883795,-87.448967,0.044407,-0.996715,-0.067733,809.107595,0.000000
7611,1,0,mu-,43.996198,-0.025089,-92.099900,-0.039139,91.640384,-92.320786,-0.040478,-0.998770,-0.028626,804.534014,0.000000
9395,1,0,mu-,43.536898,-0.011168,-92.099900,-0.271984,94.915651,-90.225848,-0.003927,-0.996314,-0.085689,804.935941,0.000000
9491,1,0,mu-,43.796020,0.239645,-92.099900,-0.012565,85.762367,-90.673787,-0.011727,-0.997197,0.073893,802.909699,0.000000
