EventID,ParticleName,Initial_Energy_MeV,Total_Energy_Deposit_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ
1,gamma,0.259727,0.259727,-0.768949,-92.000000,-0.606479,92.015554,-87.295807,0.047150,-0.998268,-0.035171
2,neutron,103.000000,0.045137,0.751623,-92.000000,-1.698450,90.000000,-90.000000,0.000000,-1.000000,0.000000
4,gamma,0.269296,0.142402,-2.390395,-92.000000,1.974196,84.211220,-128.118555,-0.614143,-0.782723,0.100861
301,neutron,101.901803,33.507640,-2.357140,-92.000000,1.831025,80.660572,-102.586296,-0.215021,-0.963032,0.162283
5,neutron,5.125616,4.090959,2.148204,-92.000000,2.730094,75.942734,-31.624107,0.826007,-0.508642,0.242892
7,neutron,102.730893,62.754066,-1.346554,-92.000000,1.259148,79.852583,-95.178318,-0.088844,-0.980340,0.176181
205,neutron,102.738071,0.000000,2.350974,-92.000000,1.775688,107.517807,-90.456843,-0.007604,-0.953593,-0.301002
8,gamma,0.260780,13.386040,-0.329163,-92.000000,-2.799755,141.407827,-122.548901,-0.335602,-0.525798,-0.781606
207,gamma,1.108345,1.108345,2.504149,-92.000000,-1.617446,82.179601,-42.678159,0.728336,-0.671575,0.136068
209,neutron,102.009130,0.168242,0.721825,-92.000000,0.145228,100.078397,-93.095002,-0.053159,-0.983133,-0.174996
9,gamma,0.071980,0.071980,-2.905126,-92.000000,-2.330831,105.072407,-104.413002,-0.240347,-0.935207,-0.260040
10,neutron,103.000000,0.000000,0.227619,-92.000000,0.625866,90.000000,-90.000000,0.000000,-1.000000,0.000000
210,neutron,102.885153,48.891525,-1.406474,-92.000000,2.197979,98.803770,-94.377336,-0.075425,-0.985336,-0.153051
212,neutron,68.153272,4.817397,1.433157,-92.000000,-2.500212,98.403593,-77.502396,0.214075,-0.965823,-0.146145
213,neutron,103.000000,0.000000,-0.540939,-92.000000,0.699058,90.000000,-90.000000,0.000000,-1.000000,0.000000
215,neutron,101.676765,30.915735,-1.073751,-92.000000,-0.009304,91.564522,-64.576090,0.429152,-0.902820,-0.027303
216,neutron,91.377701,0.178915,-1.981071,-92.000000,-1.734839,83.317964,-95.884736,-0.101831,-0.987973,0.116359
11,neutron,103.000000,33.781867,-0.522656,-92.000000,1.269772,90.000000,-90.000000,0.000000,-1.000000,0.000000
217,gamma,0.111322,1.234466,-1.879795,-92.000000,2.727977,40.679943,-89.555176,0.005061,-0.651813,0.758363
218,neutron,103.000000,25.620769,1.266407,-92.000000,2.713130,90.000000,-90.000000,0.000000,-1.000000,0.000000
12,gamma,0.127889,0.238667,0.442003,-92.000000,-1.156222,93.671700,-94.425340,-0.077002,-0.994972,-0.064039
220,neutron,103.000000,0.063530,0.632038,-92.000000,-1.127703,90.000000,-90.000000,0.000000,-1.000000,0.000000
222,neutron,4.633100,4.280653,1.366303,-92.000000,2.351879,42.017388,-45.580348,0.468488,-0.478076,0.742942
104,neutron,102.507440,46.439873,-1.732342,-92.000000,0.157050,90.589110,-74.585160,0.265792,-0.963976,-0.010282
306,neutron,103.000000,9.533803,2.479506,-92.000000,1.429476,90.000000,-90.000000,0.000000,-1.000000,0.000000
307,gamma,0.399470,0.399470,0.616247,-92.000000,-2.762418,103.812766,-64.745411,0.414303,-0.878266,-0.238750
308,gamma,0.723619,4.867184,-0.745869,-92.000000,-1.280021,101.468282,-92.558216,-0.043743,-0.979058,-0.198825
105,neutron,102.933133,0.297363,1.512720,-92.000000,-2.262534,84.795920,-95.396370,-0.093658,-0.991464,0.090704
20,gamma,0.917685,3.574396,-0.030982,-92.000000,0.495235,52.351284,-120.591136,-0.402939,-0.681573,0.610819
21,neutron,0.995059,0.968228,1.768398,-92.000000,2.443867,58.762982,-41.725177,0.638148,-0.569072,0.518580
107,neutron,103.000000,60.999930,-1.571713,-92.000000,-2.753140,90.000000,-90.000000,0.000000,-1.000000,0.000000
110,neutron,103.000000,0.000000,-2.086154,-92.000000,1.246467,90.000000,-90.000000,0.000000,-1.000000,0.000000
232,neutron,103.000000,16.133660,-1.395062,-92.000000,-2.823613,90.000000,-90.000000,0.000000,-1.000000,0.000000
235,gamma,0.114511,0.178877,-2.818780,-92.000000,2.362524,70.549184,-132.357732,-0.635305,-0.696779,0.332998
236,gamma,1.444009,1.444009,-1.712934,-92.000000,2.966430,84.091347,-111.720218,-0.368108,-0.924067,0.102943
114,neutron,102.881407,0.000000,2.054116,-92.000000,1.773429,83.532301,-97.621705,-0.131788,-0.984857,0.112643
313,neutron,103.000000,0.000000,-1.427310,-92.000000,-0.889611,90.000000,-90.000000,0.000000,-1.000000,0.000000
238,neutron,102.880387,33.285517,2.202729,-92.000000,-2.199849,79.984534,-89.523712,0.008186,-0.984727,0.173914
314,neutron,25.537404,2.860677,-2.365984,-92.000000,-1.708956,90.896018,-122.767836,-0.541170,-0.840768,-0.015638
239,neutron,102.917064,45.284184,1.515651,-92.000000,2.562987,84.380706,-88.194670,0.031352,-0.994701,0.097918
316,neutron,102.742502,4.696064,-2.937706,-92.000000,-1.176712,76.934208,-101.666124,-0.196973,-0.953988,0.226070
31,neutron,14.452476,6.757954,-0.374514,-92.000000,-2.471321,86.525148,-133.042730,-0.681289,-0.729501,0.060610
34,neutron,102.964467,0.185327,0.720004,-92.000000,-0.036262,89.257595,-95.408330,-0.094245,-0.995465,0.012957
241,neutron,103.000000,0.000000,-1.466941,-92.000000,-0.184025,90.000000,-90.000000,0.000000,-1.000000,0.000000
242,neutron,101.927923,0.940423,-0.364353,-92.000000,2.084621,92.642055,-67.271279,0.385958,-0.921364,-0.046096
244,neutron,103.000000,84.233608,-2.795248,-92.000000,0.395960,90.000000,-90.000000,0.000000,-1.000000,0.000000
245,gamma,5.265618,0.000000,2.067071,-92.000000,2.947479,60.603386,-90.808226,-0.012290,-0.871156,0.490852
122,neutron,9.198458,8.507484,0.263012,-92.000000,0.591007,71.367512,-101.394516,-0.187209,-0.928911,0.319497
129,gamma,3.112090,0.000000,1.576892,-92.000000,1.746309,55.396032,-96.962007,-0.099769,-0.817028,0.567901
36,neutron,103.000000,0.776308,0.040410,-92.000000,-2.280129,90.000000,-90.000000,0.000000,-1.000000,0.000000
132,neutron,103.000000,9.126271,-2.574406,-92.000000,-1.976921,90.000000,-90.000000,0.000000,-1.000000,0.000000
250,neutron,103.000000,0.000000,-1.075472,-92.000000,-2.516696,90.000000,-90.000000,0.000000,-1.000000,0.000000
251,neutron,103.000000,55.738294,0.220087,-92.000000,-1.494389,90.000000,-90.000000,0.000000,-1.000000,0.000000
252,neutron,102.747490,0.000000,1.875997,-92.000000,-0.313657,86.413989,-83.955329,0.105098,-0.992493,0.062547
253,neutron,102.893138,46.527997,2.200720,-92.000000,1.774863,84.510946,-85.393751,0.079939,-0.992199,0.095656
255,neutron,102.669225,14.672939,1.672596,-92.000000,1.156719,94.370037,-101.854378,-0.204828,-0.975828,-0.076198
320,neutron,101.479537,0.000000,1.310761,-92.000000,0.241380,67.025928,-74.741030,0.242307,-0.888224,0.390315
256,gamma,1.638919,1.107771,1.370673,-92.000000,0.163671,57.629935,-111.344335,-0.307414,-0.786676,0.535386
322,gamma,0.314729,0.180789,1.653327,-92.000000,1.013490,92.702184,-103.055917,-0.225651,-0.973067,-0.047145
257,gamma,0.261120,0.261120,-2.305898,-92.000000,-0.761650,92.991499,-92.318826,-0.040405,-0.997820,-0.052188
323,neutron,0.000004,0.000000,-1.076838,-92.000000,-2.877002,110.394793,-139.432358,-0.712020,-0.609578,-0.348487
134,neutron,100.781324,33.956297,-1.971531,-92.000000,0.235125,72.383176,-98.774912,-0.145399,-0.941946,0.302650
261,neutron,102.775140,4.940188,0.260449,-92.000000,0.751271,101.236975,-85.985382,0.068669,-0.978423,-0.194867
262,neutron,75.681079,39.305506,0.341929,-92.000000,0.505381,70.512103,-105.433751,-0.250878,-0.908717,0.333608
263,neutron,103.000000,0.000000,2.848419,-92.000000,2.623046,90.000000,-90.000000,0.000000,-1.000000,0.000000
265,gamma,0.311264,0.657552,0.171488,-92.000000,-0.366834,123.707208,-100.858391,-0.156712,-0.816990,-0.554949
267,neutron,102.825541,53.372469,2.330501,-92.000000,1.463997,96.049062,-87.185223,0.048834,-0.993232,-0.105380
268,neutron,103.000000,0.169077,-2.291919,-92.000000,2.909328,90.000000,-90.000000,0.000000,-1.000000,0.000000
136,neutron,65.005958,0.000000,-2.237277,-92.000000,-1.961207,80.019710,-81.912317,0.138559,-0.975072,0.173309
270,gamma,0.118799,1.718087,-1.166431,-92.000000,-0.103657,102.888289,-72.117315,0.299333,-0.927711,-0.223051
274,neutron,103.000000,0.095102,-0.722652,-92.000000,0.877568,90.000000,-90.000000,0.000000,-1.000000,0.000000
276,neutron,87.799069,0.000000,-2.351196,-92.000000,-1.985576,95.049894,-94.198369,-0.072926,-0.993445,-0.088023
329,gamma,0.142097,0.000000,2.984562,-92.000000,1.066762,67.067015,-58.483204,0.481431,-0.785107,0.389654
279,neutron,102.923949,0.023224,0.551905,-92.000000,0.209426,94.488775,-83.382744,0.114883,-0.990291,-0.078264
282,gamma,1.301946,1.145382,-2.392066,-92.000000,-1.011960,87.184399,-89.925183,0.001304,-0.998792,0.049122
41,neutron,80.498503,7.554594,1.168112,-92.000000,0.497234,93.542395,-52.509545,0.607466,-0.791939,-0.061787
42,neutron,102.937896,40.419300,2.184386,-92.000000,-1.568765,90.712807,-82.815758,0.125051,-0.992072,-0.012441
44,neutron,103.000000,0.015417,-2.790049,-92.000000,-0.176876,90.000000,-90.000000,0.000000,-1.000000,0.000000
46,neutron,102.966006,0.219398,-2.356191,-92.000000,2.863116,90.833089,-90.259903,-0.004536,-0.999884,-0.014540
335,neutron,102.404379,14.364884,-2.955410,-92.000000,-0.721964,74.988272,-89.855225,0.002441,-0.965870,0.259017
140,neutron,102.683810,0.000000,-0.402816,-92.000000,-0.803368,102.339627,-90.139000,-0.002370,-0.976895,-0.213706
288,neutron,103.000000,0.489057,0.708257,-92.000000,2.255182,90.000000,-90.000000,0.000000,-1.000000,0.000000
290,gamma,0.091841,0.091841,2.010682,-92.000000,-0.526402,80.352234,-86.785889,0.055274,-0.984306,0.167591
142,gamma,0.124842,2.455016,1.289896,-92.000000,-0.224043,133.125897,-105.734651,-0.197924,-0.702504,-0.683604
337,neutron,103.000000,0.003366,2.907766,-92.000000,0.975877,90.000000,-90.000000,0.000000,-1.000000,0.000000
291,neutron,103.000000,57.911325,1.006360,-92.000000,1.355767,90.000000,-90.000000,0.000000,-1.000000,0.000000
292,neutron,40.447602,17.570808,2.092903,-92.000000,-0.378697,69.318395,-42.218529,0.692862,-0.628657,0.353175
294,neutron,103.000000,58.441075,-1.714270,-92.000000,1.173213,90.000000,-90.000000,0.000000,-1.000000,0.000000
297,neutron,102.775535,0.661115,1.376567,-92.000000,2.673171,89.774123,-99.823247,-0.170608,-0.985331,0.003942
51,neutron,37.974810,13.416832,2.541978,-92.000000,-0.214259,73.134365,-96.651718,-0.110851,-0.950546,0.290128
52,gamma,0.365865,0.243754,-1.799840,-92.000000,0.893134,104.279605,-113.459537,-0.385801,-0.888999,-0.246654
53,neutron,102.715569,0.000000,-2.313536,-92.000000,-2.810155,99.031847,-102.174133,-0.208269,-0.965391,-0.156983
402,neutron,103.000000,0.000000,0.386494,-92.000000,1.148607,90.000000,-90.000000,0.000000,-1.000000,0.000000
54,neutron,4.181868,1.468335,1.151530,-92.000000,-0.815306,100.952368,-106.459337,-0.278174,-0.941553,-0.189993
143,neutron,102.989758,0.000000,-0.233744,-92.000000,1.539113,90.310657,-92.965475,-0.051733,-0.998646,-0.005422
404,neutron,102.493359,6.656321,1.984045,-92.000000,-0.857552,91.121499,-94.139544,-0.072172,-0.997200,-0.019573
342,neutron,103.000000,0.218533,-2.253443,-92.000000,-0.907651,90.000000,-90.000000,0.000000,-1.000000,0.000000
406,neutron,102.928663,43.731221,1.598044,-92.000000,-1.504030,97.721860,-94.895615,-0.084567,-0.987317,-0.134364
407,gamma,1.688407,9.491518,-0.785658,-92.000000,-0.794230,128.439346,-98.822564,-0.120134,-0.773999,-0.621686
408,neutron,102.864033,0.264943,1.670164,-92.000000,2.731885,86.387193,-87.659415,0.040758,-0.997180,0.063014
147,neutron,102.208465,0.238166,-0.617146,-92.000000,1.600599,78.356305,-109.646746,-0.329301,-0.922403,0.201825
412,neutron,6.827059,4.036176,2.411607,-92.000000,-2.479887,103.463477,-86.040897,0.067147,-0.970198,-0.232825
343,neutron,6.548766,5.261806,-2.638666,-92.000000,-0.379918,104.701482,-134.320761,-0.675801,-0.692017,-0.253783
413,neutron,102.364381,33.530407,-0.051511,-92.000000,-0.172111,74.461973,-81.748795,0.138268,-0.953480,0.267878
414,neutron,101.718688,12.553961,-1.737972,-92.000000,1.820440,98.639685,-101.794388,-0.202081,-0.967780,-0.150220
415,gamma,3.509256,3.456586,-0.521587,-92.000000,0.226141,116.891198,-106.257985,-0.249690,-0.856202,-0.452298
417,neutron,102.904860,0.024568,2.489590,-92.000000,1.067206,84.457264,-93.869456,-0.067168,-0.993055,0.096588
59,neutron,102.540608,0.803126,-0.322444,-92.000000,-1.077015,102.414320,-99.303445,-0.157883,-0.963772,-0.214979
60,neutron,102.728392,0.000000,-2.793290,-92.000000,-2.948133,100.241447,-95.109238,-0.087636,-0.980157,-0.177797
157,neutron,103.000000,38.980858,1.943007,-92.000000,1.408210,90.000000,-90.000000,0.000000,-1.000000,0.000000
158,gamma,4.826922,0.000000,-2.377565,-92.000000,0.241447,91.787202,-84.086942,0.102969,-0.994196,-0.031188
159,neutron,0.168597,0.099870,-0.464660,-92.000000,2.079856,74.069802,-126.517285,-0.572213,-0.772814,0.274466
61,neutron,11.025021,9.168644,1.264002,-92.000000,-1.459055,93.793577,-97.224144,-0.125476,-0.989888,-0.066162
161,neutron,103.000000,41.486705,1.204210,-92.000000,-2.271261,90.000000,-90.000000,0.000000,-1.000000,0.000000
162,neutron,103.000000,0.000000,2.771261,-92.000000,0.996309,90.000000,-90.000000,0.000000,-1.000000,0.000000
164,neutron,103.000000,30.926404,1.304485,-92.000000,2.964234,90.000000,-90.000000,0.000000,-1.000000,0.000000
165,neutron,102.492435,0.942311,2.126076,-92.000000,1.902555,89.602984,-88.447815,0.027087,-0.999609,0.006929
167,neutron,12.109351,0.000000,1.567911,-92.000000,-1.317181,70.084476,-55.454653,0.533146,-0.774418,0.340634
169,neutron,102.758953,0.056400,-2.282244,-92.000000,0.475060,101.369173,-93.801868,-0.065005,-0.978220,-0.197130
65,neutron,66.736829,0.518429,2.813590,-92.000000,2.945548,67.970216,-62.741097,0.424572,-0.824043,0.375089
422,neutron,103.000000,0.010893,-1.700610,-92.000000,-2.483853,90.000000,-90.000000,0.000000,-1.000000,0.000000
174,neutron,102.627919,38.415193,-0.066395,-92.000000,2.472987,97.485168,-78.861872,0.191529,-0.972803,-0.130270
175,neutron,103.000000,44.839961,-2.204848,-92.000000,0.835117,90.000000,-90.000000,0.000000,-1.000000,0.000000
423,neutron,55.507652,25.254827,2.233507,-92.000000,2.500208,51.964685,-69.054125,0.281567,-0.735583,0.616147
425,gamma,0.144656,0.144656,-1.837334,-92.000000,2.113225,62.509167,-70.972757,0.289205,-0.838618,0.461607
426,neutron,102.582956,0.000000,1.112674,-92.000000,-0.132907,101.165037,-85.382743,0.078976,-0.977890,-0.193636
345,neutron,102.503265,0.019918,-0.338452,-92.000000,-0.735950,103.000601,-73.170118,0.282110,-0.932634,-0.224961
427,neutron,103.000000,26.684838,1.389174,-92.000000,-1.129996,90.000000,-90.000000,0.000000,-1.000000,0.000000
428,neutron,103.000000,8.613847,-0.585876,-92.000000,-2.675130,90.000000,-90.000000,0.000000,-1.000000,0.000000
429,neutron,89.936326,41.228183,-2.281807,-92.000000,-0.842253,108.132336,-94.504154,-0.074632,-0.947405,-0.311213
177,neutron,87.486011,8.743561,-1.507886,-92.000000,1.581133,87.920952,-94.059885,-0.070752,-0.996834,0.036278
350,neutron,102.700677,0.000000,0.602628,-92.000000,-1.965894,102.291377,-90.021181,-0.000361,-0.977078,-0.212883
352,neutron,17.551397,0.079082,-0.030265,-92.000000,-2.403213,109.633607,-126.900985,-0.565525,-0.753182,-0.336004
353,neutron,102.540559,0.264106,1.564198,-92.000000,-0.375475,87.048432,-104.605013,-0.251820,-0.966403,0.051492
184,neutron,103.000000,0.708556,1.075136,-92.000000,-0.405938,90.000000,-90.000000,0.000000,-1.000000,0.000000
185,neutron,102.388077,2.452597,1.355854,-92.000000,0.194138,103.992886,-79.876582,0.170553,-0.955219,-0.241801
186,neutron,102.784772,0.000000,-0.474928,-92.000000,2.693275,82.826755,-82.768285,0.124897,-0.984281,0.124870
430,neutron,103.000000,15.674154,2.957222,-92.000000,1.492080,90.000000,-90.000000,0.000000,-1.000000,0.000000
74,gamma,0.046541,0.046541,2.173657,-92.000000,-2.950204,112.247850,-38.142869,0.727924,-0.571645,-0.378614
76,gamma,5.376227,7.354252,-1.496688,-92.000000,-0.648070,100.442317,-108.125279,-0.305943,-0.934638,-0.181246
187,neutron,42.730931,22.936737,-1.256005,-92.000000,-2.403006,92.861854,-137.143910,-0.732150,-0.679311,-0.049928
189,neutron,50.716971,0.521141,2.021335,-92.000000,-2.482336,84.470677,-74.464737,0.266585,-0.958983,0.096355
190,neutron,103.000000,1.331598,-2.835227,-92.000000,2.797874,90.000000,-90.000000,0.000000,-1.000000,0.000000
191,neutron,102.671507,0.000000,1.440978,-92.000000,0.306773,102.593137,-101.452844,-0.193785,-0.956510,-0.218026
434,neutron,103.000000,52.434231,0.387878,-92.000000,-2.278473,90.000000,-90.000000,0.000000,-1.000000,0.000000
435,neutron,103.000000,0.000000,-2.089158,-92.000000,0.228801,90.000000,-90.000000,0.000000,-1.000000,0.000000
436,neutron,101.258020,14.370616,2.176896,-92.000000,-0.398814,65.517138,-94.589522,-0.072822,-0.907167,0.414421
84,neutron,103.000000,55.253341,2.937017,-92.000000,0.755595,90.000000,-90.000000,0.000000,-1.000000,0.000000
85,neutron,103.000000,0.000000,1.328532,-92.000000,1.096368,90.000000,-90.000000,0.000000,-1.000000,0.000000
87,neutron,103.000000,0.000000,1.586968,-92.000000,1.162397,90.000000,-90.000000,0.000000,-1.000000,0.000000
354,neutron,102.983067,28.354483,-1.504015,-92.000000,-1.795866,88.960823,-92.652278,-0.046267,-0.998764,0.018136
356,neutron,102.977646,0.000000,-1.629018,-92.000000,0.779156,93.285477,-87.853011,0.037402,-0.997656,-0.057311
194,neutron,102.631959,0.058368,-0.746145,-92.000000,2.391909,95.587263,-81.375069,0.149253,-0.983994,-0.097362
92,neutron,103.000000,0.000000,2.522897,-92.000000,1.845294,90.000000,-90.000000,0.000000,-1.000000,0.000000
93,neutron,102.029180,0.337330,0.619562,-92.000000,2.431308,79.938674,-78.209652,0.201189,-0.963848,0.174702
196,neutron,84.986264,0.000000,0.032967,-92.000000,1.651134,106.621394,-85.846508,0.069402,-0.955699,-0.286046
95,gamma,0.796884,2.078979,1.924923,-92.000000,-0.269667,114.721819,-67.380046,0.349366,-0.838475,-0.418213
96,neutron,103.000000,6.592211,-0.306466,-92.000000,-2.898509,90.000000,-90.000000,0.000000,-1.000000,0.000000
439,neutron,102.844678,0.000000,-0.434763,-92.000000,-1.870792,78.295685,-83.462968,0.111478,-0.972841,0.202861
97,neutron,103.000000,0.000000,1.991808,-92.000000,-1.005299,90.000000,-90.000000,0.000000,-1.000000,0.000000
99,neutron,103.000000,0.000000,-2.542172,-92.000000,1.711742,90.000000,-90.000000,0.000000,-1.000000,0.000000
500,neutron,102.727455,0.311102,0.716227,-92.000000,-1.990000,97.686629,-81.484260,0.146751,-0.980089,-0.133755
197,gamma,1.845383,1.723767,2.226565,-92.000000,-0.937748,91.838556,-113.692549,-0.401622,-0.915243,-0.032083
441,gamma,0.180203,0.288571,2.338562,-92.000000,0.392802,114.772536,-33.511452,0.757050,-0.501298,-0.419017
443,gamma,0.088937,0.088937,0.218505,-92.000000,1.073731,118.418912,-102.397298,-0.188817,-0.858984,-0.475915
445,neutron,100.615904,2.637762,-2.058229,-92.000000,0.742927,87.809851,-120.574075,-0.508280,-0.860343,0.038216
446,neutron,101.963439,0.353210,-2.055229,-92.000000,0.010021,98.869071,-73.299900,0.283926,-0.946370,-0.154177
503,neutron,103.000000,0.000000,-0.321629,-92.000000,-2.409440,90.000000,-90.000000,0.000000,-1.000000,0.000000
504,neutron,102.890057,0.000000,2.379050,-92.000000,-2.525641,83.961759,-94.045251,-0.070153,-0.991974,0.105192
604,neutron,102.922607,67.501259,0.308526,-92.000000,-0.978827,87.596634,-95.600335,-0.097503,-0.994351,0.041934
447,neutron,103.000000,49.560354,0.323910,-92.000000,-2.354553,90.000000,-90.000000,0.000000,-1.000000,0.000000
605,neutron,102.778204,0.000000,-0.420294,-92.000000,2.112890,88.700067,-79.754169,0.177826,-0.983800,0.022686
449,neutron,102.932024,0.362531,-2.029901,-92.000000,-2.549171,85.555585,-96.113785,-0.106183,-0.991322,0.077492
450,neutron,102.227768,0.000000,1.886448,-92.000000,-1.226207,70.649075,-89.330376,0.011027,-0.943442,0.331353
507,neutron,0.072293,0.006386,-1.328717,-92.000000,1.112330,51.702823,-101.657081,-0.158573,-0.768620,0.619740
361,neutron,103.000000,23.988871,1.594420,-92.000000,-0.313628,90.000000,-90.000000,0.000000,-1.000000,0.000000
607,neutron,0.346652,4.418986,-1.943053,-92.000000,-0.820756,93.005850,-110.735904,-0.353574,-0.933936,-0.052438
451,neutron,53.039663,14.654669,-0.716844,-92.000000,-0.347673,119.169630,-55.195404,0.498393,-0.716972,-0.487397
608,gamma,6.309423,5.798424,0.920966,-92.000000,1.506780,48.239128,-102.991553,-0.167691,-0.726838,0.666023
366,neutron,102.318384,0.439108,0.532911,-92.000000,1.046921,85.484851,-94.416415,-0.076766,-0.993937,0.078723
367,neutron,102.617063,0.222877,-1.911625,-92.000000,-1.338183,93.178032,-76.781611,0.228312,-0.972008,-0.055439
609,neutron,103.000000,32.766882,-0.023732,-92.000000,1.332064,90.000000,-90.000000,0.000000,-1.000000,0.000000
610,neutron,102.852795,2.656368,1.096421,-92.000000,-1.606082,81.840797,-92.036400,-0.035175,-0.989252,0.141924
611,neutron,103.000000,0.493299,2.953153,-92.000000,1.416092,90.000000,-90.000000,0.000000,-1.000000,0.000000
612,neutron,1.086980,0.438266,-2.782760,-92.000000,1.115153,111.011989,-102.056345,-0.194985,-0.912915,-0.358563
613,neutron,103.000000,0.000000,-0.584549,-92.000000,0.666979,90.000000,-90.000000,0.000000,-1.000000,0.000000
369,gamma,0.091424,2.465436,-0.949212,-92.000000,0.058068,127.651096,-93.939026,-0.054389,-0.789875,-0.610851
371,neutron,102.758808,0.071873,-2.391796,-92.000000,-2.253698,97.057657,-98.157269,-0.140816,-0.982382,-0.122868
511,neutron,103.000000,9.204036,-0.513341,-92.000000,-0.443838,90.000000,-90.000000,0.000000,-1.000000,0.000000
452,neutron,89.800579,6.301789,-0.909020,-92.000000,1.022279,108.016306,-80.785321,0.152282,-0.938697,-0.309288
615,neutron,103.000000,4.168774,0.953713,-92.000000,0.432287,90.000000,-90.000000,0.000000,-1.000000,0.000000
454,gamma,8.072239,7.790135,1.239468,-92.000000,1.661175,65.686096,-93.429247,-0.054510,-0.909672,0.411736
515,neutron,63.406700,0.000000,0.684882,-92.000000,1.075049,118.418312,-67.961768,0.330009,-0.815235,-0.475905
374,neutron,103.000000,0.000000,2.580953,-92.000000,2.914354,90.000000,-90.000000,0.000000,-1.000000,0.000000
375,neutron,102.925958,0.334551,-0.441056,-92.000000,-1.173921,86.324242,-91.327789,-0.023125,-0.997675,0.064110
376,neutron,102.587348,0.000000,2.294063,-92.000000,0.572106,80.344461,-79.662575,0.176903,-0.969832,0.167724
456,neutron,102.984667,40.818724,-1.742576,-92.000000,-1.224856,92.436301,-91.188310,-0.020720,-0.998881,-0.042509
457,gamma,1.737294,1.737294,-1.648404,-92.000000,1.583275,81.954990,-77.780676,0.209571,-0.967726,0.139951
377,neutron,55.948321,30.559043,-1.944493,-92.000000,0.487493,119.950719,-90.562945,-0.008513,-0.866413,-0.499255
459,neutron,102.829102,0.106306,2.451253,-92.000000,-0.894809,98.224429,-86.183963,0.065869,-0.987521,-0.143051
462,neutron,100.794249,0.317340,-0.987605,-92.000000,1.828195,104.023350,-120.344489,-0.490141,-0.837283,-0.242317
464,neutron,102.773200,0.000000,0.229746,-92.000000,-2.098458,91.798092,-76.288827,0.236911,-0.971025,-0.031377
378,neutron,0.016486,0.000000,-2.179798,-92.000000,-0.829708,121.768329,-85.841323,0.061654,-0.847945,-0.526486
466,neutron,103.000000,43.876590,0.940971,-92.000000,2.586917,90.000000,-90.000000,0.000000,-1.000000,0.000000
467,neutron,37.473380,14.110866,1.562805,-92.000000,-1.338363,85.101707,-43.641705,0.721027,-0.687626,0.085387
468,neutron,102.580916,0.000000,1.612504,-92.000000,1.693657,74.686622,-95.646292,-0.094894,-0.959816,0.264098
381,neutron,87.138175,0.103633,-2.387014,-92.000000,-0.057651,73.729688,-96.758547,-0.112972,-0.953280,0.280169
382,neutron,86.627154,0.000000,-1.876583,-92.000000,0.587749,61.466541,-95.423606,-0.083038,-0.874605,0.477672
617,neutron,103.000000,0.000000,1.467514,-92.000000,2.979075,90.000000,-90.000000,0.000000,-1.000000,0.000000
383,neutron,100.638349,0.000000,0.338551,-92.000000,-1.467322,95.861136,-106.091536,-0.275724,-0.955797,-0.102118
384,neutron,103.000000,20.683640,1.989713,-92.000000,0.601125,90.000000,-90.000000,0.000000,-1.000000,0.000000
386,neutron,102.898839,0.000000,1.330911,-92.000000,-1.882028,94.708220,-97.934674,-0.137578,-0.987084,-0.082081
387,neutron,102.623172,0.000000,-1.388950,-92.000000,-0.565026,84.088978,-100.598634,-0.182950,-0.977713,0.102984
520,neutron,32.949479,9.943418,1.532816,-92.000000,-0.025615,100.180500,-90.494885,-0.008501,-0.984219,-0.176750
618,neutron,0.000006,0.223553,1.903272,-92.000000,1.098308,114.573689,-105.745005,-0.246779,-0.875304,-0.415863
619,neutron,102.670645,0.000000,1.343930,-92.000000,2.635066,92.856868,-102.272966,-0.212305,-0.975932,-0.049841
620,neutron,102.273143,29.057242,-1.067680,-92.000000,2.259195,95.628573,-112.739587,-0.384680,-0.917825,-0.098079
521,neutron,103.000000,7.041362,-1.061486,-92.000000,0.252796,90.000000,-90.000000,0.000000,-1.000000,0.000000
523,neutron,103.000000,75.268210,0.155101,-92.000000,0.111574,90.000000,-90.000000,0.000000,-1.000000,0.000000
526,neutron,49.663326,1.172108,-1.747248,-92.000000,1.979521,60.097945,-68.402439,0.319085,-0.806017,0.498519
472,neutron,103.000000,0.264238,2.519514,-92.000000,1.344739,90.000000,-90.000000,0.000000,-1.000000,0.000000
392,neutron,103.000000,42.219850,-1.867281,-92.000000,-1.536802,90.000000,-90.000000,0.000000,-1.000000,0.000000
475,neutron,103.000000,0.158207,2.972009,-92.000000,0.368367,90.000000,-90.000000,0.000000,-1.000000,0.000000
476,neutron,102.992393,0.051965,-1.953300,-92.000000,-0.884012,89.460246,-92.466566,-0.043034,-0.999029,0.009420
394,neutron,102.957653,0.000000,-1.509156,-92.000000,-0.407133,84.246831,-94.209240,-0.073029,-0.992279,0.100243
530,neutron,103.000000,0.322880,2.963570,-92.000000,2.949575,90.000000,-90.000000,0.000000,-1.000000,0.000000
477,neutron,102.910417,0.000000,0.128244,-92.000000,-1.484642,81.482277,-89.959346,0.000702,-0.988970,0.148115
478,gamma,0.679380,0.521968,2.612995,-92.000000,-0.417824,116.033567,-85.724399,0.066990,-0.896036,-0.438898
479,neutron,102.241876,4.075041,-2.010141,-92.000000,2.733715,67.578969,-85.241906,0.076679,-0.921220,0.381410
