EventID,TrackID,ParentID,ParticleName,Initial_Energy_MeV,PosX_m,PosY_m,PosZ_m,Theta_deg,Phi_deg,MomX,MomY,MomZ,GlobalTime_s,DeltaTime_s
10,2117,1,anti_nu_mu,50.149422,-0.348554,-92.099900,0.280400,102.325380,-86.510406,0.059464,-0.975140,-0.213463,4195.562083,0.000000
1297,2070,1,anti_nu_mu,42.231943,0.368948,-92.099900,-0.114491,75.398096,-86.713072,0.055484,-0.966109,0.252102,10366.511501,0.000000
1771,2043,1,nu_e,27.672683,-0.520214,-92.099900,-0.290086,76.993685,-109.816554,-0.330313,-0.916647,0.225058,2296.381869,0.000000
2171,1492,1,nu_e,120.380337,-0.504894,-92.099900,-0.281361,89.984851,-87.886465,0.036880,-0.999320,0.000264,672.059491,0.000000
2643,2098,1,anti_nu_mu,42.965376,0.551788,-92.099900,0.019724,123.282387,-88.190959,0.026390,-0.835559,-0.548766,4484.413140,0.000000
2855,1871,1,anti_nu_mu,134.848671,-0.415564,-92.099900,-0.242505,98.205044,-88.611454,0.023984,-0.989473,-0.142716,684.407234,0.000000
2880,2076,1,anti_nu_mu,32.627881,-0.251575,-92.099900,-0.219421,94.072129,-83.819454,0.107390,-0.991678,-0.071012,2278.668662,0.000000
3648,2011,1,nu_e,28.217691,-0.256556,-92.099900,-0.235071,127.154223,-105.439341,-0.212179,-0.768251,-0.603963,1166.958925,0.000000
3853,2026,1,nu_e,23.432227,0.334172,-92.099900,0.211715,114.214484,-108.165872,-0.284338,-0.866560,-0.410154,3794.211423,0.000000
6196,2038,1,anti_nu_mu,41.877060,0.451839,-92.099900,0.163992,124.684896,-91.088486,-0.015621,-0.822146,-0.569063,1676.415068,0.000000
6701,2093,1,anti_nu_mu,56.443089,0.013871,-92.099900,-0.241264,88.622114,-119.720189,-0.495621,-0.868206,0.024046,689.467814,0.000000
7477,2084,1,nu_e,28.679872,0.223123,-92.099900,0.240701,111.572851,-65.721347,0.382372,-0.847703,-0.367684,1772.412156,0.000000
7759,2081,1,nu_e,17.843776,-0.120182,-92.099900,-0.148795,65.134842,-90.527647,-0.008355,-0.907261,0.420484,1011.927027,0.000000
7846,2021,1,anti_nu_mu,7.372875,0.554427,-92.099900,0.125602,77.585914,-109.027171,-0.318394,-0.923261,0.214975,1480.141286,0.000000
8226,2095,1,anti_nu_mu,46.535541,-0.452263,-92.099900,-0.129538,80.840816,-71.195445,0.318231,-0.934554,0.159178,750.590389,0.000000
8324,2033,1,nu_e,39.028281,-0.172081,-92.099900,0.157291,74.569941,-115.309522,-0.412099,-0.871427,0.266062,1424.057394,0.000000
8080,2010,1,anti_nu_mu,20.790877,-0.072564,-92.099900,0.218102,109.646116,-69.086425,0.336180,-0.879742,-0.336210,3002.027503,0.000000
8745,2056,1,anti_nu_mu,31.957003,-0.291569,-92.099900,0.093882,116.784625,-79.381251,0.164502,-0.877419,-0.450638,5050.961057,0.000000
8962,1990,1,anti_nu_mu,50.518022,0.604940,-92.099900,-0.156097,62.933920,-90.606890,-0.009432,-0.890432,0.455018,2109.887394,0.000000
9407,2055,1,nu_e,27.501492,-0.119760,-92.099900,-0.104653,86.717254,-102.141284,-0.209978,-0.976028,0.057263,2573.585075,0.000000
9557,2107,1,anti_nu_mu,22.060792,0.499643,-92.099900,0.216413,133.324792,-61.243008,0.349986,-0.637755,-0.686133,1323.624039,0.000000
9399,2042,1,anti_nu_mu,31.330639,-0.486069,-92.099900,-0.203208,131.346155,-102.211487,-0.158795,-0.733746,-0.660607,1376.139667,0.000000
9616,361,1,anti_nu_mu,74.722072,0.362991,-92.099900,-0.313108,90.499154,-90.016187,-0.000282,-0.999962,-0.008712,645.188636,0.000000
